"Quartal";"Veränderung gegenüber dem Vorjahresquartal";"Veränderung gegenüber dem Vorquartal (saison- und kalenderbereinigt)"
"2008-01-01 1. Halbjahr 2008:00:00";1,980307556;0,652545999
"2008-04-01 1. Halbjahr 2008:00:00";2,929922379;-0,255074928
"2008-07-01 2. Halbjahr 2008:00:00";0,977443609;-0,62866276
"2008-10-01 2. Halbjahr 2008:00:00";-1,90566435;-1,597683894
"2009-01-01 1. Halbjahr 2009:00:00";-6,682577566;-4,674730304
"2009-04-01 1. Halbjahr 2009:00:00";-7,923526288;0,137174211
"2009-07-01 2. Halbjahr 2009:00:00";-5,478140623;0,570776256
"2009-10-01 2. Halbjahr 2009:00:00";-2,683267146;0,749148695
"2010-01-01 1. Halbjahr 2010:00:00";2,522669147;0,799909869
"2010-04-01 1. Halbjahr 2010:00:00";4,764101973;2,235386163
"2010-07-01 2. Halbjahr 2010:00:00";4,692775152;0,83087351
"2010-10-01 2. Halbjahr 2010:00:00";4,709385684;0,824026889
"2011-01-01 1. Halbjahr 2011:00:00";6,383943758;1,924938165
"2011-04-01 1. Halbjahr 2011:00:00";3,787711958;0,094956742
"2011-07-01 2. Halbjahr 2011:00:00";3,665484252;0,864340677
"2011-10-01 2. Halbjahr 2011:00:00";1,98019802;-0,271710733
"2012-01-01 1. Halbjahr 2012:00:00";1,492219143;0,199098816
"2012-04-01 1. Halbjahr 2012:00:00";0,413749204;0,167329011
"2012-07-01 2. Halbjahr 2012:00:00";-0,062214849;0,292336605
"2012-10-01 2. Halbjahr 2012:00:00";-0,103284445;-0,416406413
"2013-01-01 1. Halbjahr 2013:00:00";-1,539912005;-0,458906967
"2013-04-01 1. Halbjahr 2013:00:00";0,822004426;1,068734283
"2013-07-01 2. Halbjahr 2013:00:00";1,179879942;0,539083558
"2013-10-01 2. Halbjahr 2013:00:00";1,247937294;0,319653537
"2014-01-01 1. Halbjahr 2014:00:00";3,223747207;0,955905026
"2014-04-01 1. Halbjahr 2014:00:00";1,411100659;0,010181226
"2014-07-01 2. Halbjahr 2014:00:00";1,820785597;0,488649089
"2014-10-01 2. Halbjahr 2014:00:00";2,434552307;0,830716239
"2015-01-01 1. Halbjahr 2015:00:00";0,999793857;-0,502361097
"2015-04-01 1. Halbjahr 2015:00:00";1,525458668;0,716954458
"2015-07-01 2. Halbjahr 2015:00:00";1,516978099;0,431120914
"2015-10-01 2. Halbjahr 2015:00:00";1,889419252;0,469202356
"2016-01-01 1. Halbjahr 2016:00:00";2,16348607;0,864467409
"2016-04-01 1. Halbjahr 2016:00:00";3,573604061;0,394049847
"2016-07-01 2. Halbjahr 2016:00:00";1,860465116;0,245314493
"2016-10-01 2. Halbjahr 2016:00:00";1,366386883;0,381754111
"2017-01-01 1. Halbjahr 2017:00:00";3,566077315;1,228668942
"2017-04-01 1. Halbjahr 2017:00:00";1,186041953;0,655042867
"2017-07-01 2. Halbjahr 2017:00:00";2,671718644;0,88046703
"2017-10-01 2. Halbjahr 2017:00:00";3,004043905;0,834835405
"2018-01-01 1. Halbjahr 2018:00:00";1,523919753;-0,206980901
"2018-04-01 1. Halbjahr 2018:00:00";2,363653977;0,47138682
"2018-07-01 2. Halbjahr 2018:00:00";0,700227101;-0,328422633
"2018-10-01 2. Halbjahr 2018:00:00";0,523462329;0,338919224
"2019-01-01 1. Halbjahr 2019:00:00";1,045031351;0,60987052
"2019-04-01 1. Halbjahr 2019:00:00";-0,29336614;-0,503590413
"2019-07-01 2. Halbjahr 2019:00:00";1,240368352;0,309307339
"2019-10-01 2. Halbjahr 2019:00:00";0,232471638;-0,018688096
"2020-01-01 1. Halbjahr 2020:00:00";-1,814591952;-2,018691589
"2020-04-01 1. Halbjahr 2020:00:00";-11,69324222;-10,0915681
